,preco_1,preco_2,endereco_1,endereco_2,descricao,attr1,attr2,attr3,attr4,attr5
12,R$ 1.350,R$ 1.420/mês,Jardim Santa Genebra II (Barão Geraldo),"Barão Geraldo (Centro)  -  300 metros Terminal de ônibus de Barão Geraldo.

Mobiliada com fogão, geladeira, gabinete pia cozinha, gabinete pia banheiro, guarda roupas 2 portas, ar-condicionado, TV 29 polegadas; cama box solteiro.
Lavandeira de uso comunitário com água.
Aluguel inclui: água, IPTU, internet, gás, vigilante patrimonial, manutenção de áreas comuns;
Energia elétrica: individual.
Vagas de garagem: locado a parte, quando disponível.",Kitnet em Campinas,1quarto,1banheiro ,24m²,not found,not found
13,R$ 4.800,"R$ 5.342,41/mês",Cidade Universitária,"Cidade Universitária - Próximo da FEF 
Casa térrea com até 8 dormitórios sendo: 4 dormitórios com armários (2 suítes) originais, sala de estar foi dividida e virou mais 2 dormitórios + escritório + dependencia externa de empregada com banheiro. 
Cozinha com armários (fogão e forno embutidos), despensa com prateleiras  amplas, lavanderia coberta.
São no total 4 banheiros (1 em cada suite, social + dependencia empregada)
Vaga para 2 autos cobertas na garagem (5 no total) com portao eletrônico. 
Poucos metros da Unicamp - (pela entrada do Bandejão)
IPTU: valor por mês. 
Energia elétrica, água, gás (botijão) despesas individuais.",Casa em Campinas,6quartos,2suítes,4banheiros,5vagas,235m²
14,R$ 900.000,"R$ 4.398,89/mês",Barão Geraldo,"Santa Genebra 02 - Próximo aos Bancos da Região Central de Barão Geraldo. 
Casa térrea com vocação comercial (ZM1-A BG - Antigo Z03 BG Hachurado - consulte tipos de comércios possíveis). 
 4 Dormitórios sendo 02 suítes,
Sala ampla com escritório;
Cozinha com armários;
Lavabo;
Lavanderia;
Edícula com 01 dormitório e banheiro;
Quintal gramado com árvores (algumas frutíferas) e ampla varanda com churrasqueira.
Energia elétrica, IPTU, água e gás (Botijão): despesas individuais por conta locatários.",Casa em Campinas,4quartos,2suítes,1banheiro ,5vagas,280m²
15,R$ 2.500,R$ 2.975/mês,Cidade Universitária,"Cidade Universitária 02
Casa estilo edicula com gramado à frente! 

65m² - Próximo Lagoa da Unicamp.
2 dormitórios com armários embutidos toda em piso frio (1 suíte);
Sala de estar em estilo americano com cozinha;
Banheiros com box de vidro e gabinete;
Cozinha com gabinete;
Varanda com churrasqueira;
IPTU: valor por mês;
Energia elétrica e água: individuais;
Portão eletrônico.",Casa em Campinas,2quartos,1suíte,2banheiros,6vagas,69m²
16,R$ 5.200,"R$ 5.941,40/mês",Cidade Universitária,"Cidade Universitária 2 - Barão Geraldo - Campinas SP

Imóvel com ótima localização, próximo às Universidades, Hospitais, Parque Ecológico, bairro residencial!
Sobrado com 4 dormitórios, todos com armários e ar condicionado, 1 suíte com gabinete e box de vidro; Banheiro Social; escritório
Sala Social; Sala de Tv; Lavabo;
Cozinha com gabinete, Ilha, Copa; Despensa;
Lavanderia coberta com armários;
Quarto de serviço com banheiro;
Quintal com ótima área de lazer; Piscina; Rancho com churrasqueira, banheiro e 2 Cômodos;",Casa em Campinas,4quartos,1suíte,5banheiros,5vagas,"330,55m²"
17,R$ 12.000,"R$ 12.462,82/mês",Cidade Universitária,"Oportunidade comercial com ótima localização na principal via de acesso à Unicamp, fluxo de público constante, diversas moradias estudantis bem próximas e há menos de 50 metros da entrada principal da Universidade.",Salão em Campinas,4banheiros,1vaga,50m²,not found,not found
18,R$ 3.000,"R$ 3.462,08/mês",Residencial Terras do Barão,"Terras do Barão - 
Sobrado de esquina de frente para Praça do Terras do Barão muito bem projetada!!! 
São 3 dormitórios no pavimento superior sendo 1 suíte, sala dois ambientes. Armários planejados nos dormitórios, e na cozinha  quintal com toda privacidade e varanda com churrasqueira. 
Vaga coberta para 2 autos, com portao eletrônico e cerca elétrica.",Casa em Campinas,3quartos,1suíte,3banheiros,4vagas,"128,85m²"
19,R$ 2.800,"R$ 3.105,14/mês",Cidade Universitária,"Cidade Universitária 01
Opção de locação da parte térrea de um imóvel assobradado. 

Entrada compartilhada com outra casa (locada para estudantes), contendo 3 dormitórios (1 suite), semi mobiliada, sala, varanda com churrasqueira, banheiro social, cozinha com armários e geladeira, cômodo reversível. 1 vaga de garagem. 
Despesas como água, IPTU, energia são cobradas proporcionalmente.",Casa em Campinas,3quartos,1suíte,2banheiros,120m²,not found
20,R$ 5.000,R$ 5.711/mês,Bosque das Palmeiras,"Barracão para alugar, 380 m²  Bosque das Palmeiras - Campinas/SP
Excelente barracão, de ótima localização. Com escritório e wc social. Imperdível, agende sua visita e venha conhecer! Maiores informações e agendamentos consultar-nos. Fones: Fixo Comercial/ Celular e WhatsApp Comercial.",Barracão em Campinas,1banheiro ,380m²,not found,not found,not found
21,R$ 3.500,"R$ 3.880,60/mês",Jardim do Sol,"Jardim do Sol - Barão Geraldo

Excelente opção de casa térrea toda em piso frio;
3 dormitórios com armários (1 suite master com banheira, gabinete de pia);
Sala de estar 2 ambientes amplos com área de luz e lavabo;
Opção de Escritório;
Banheiro social com gabinete e box de vidro;
Cozinha com armários;
Lavanderia externa e coberta, com armários, com entrada de serviço para a garagem;
Edicula com cômodo (oficina/atelier) avarandada;
Porão de despejo;
Vaga coberta para 2 autos - 4 no total;
Portão eletrônico.
Energia e água: individuais.",Casa em Campinas,3quartos,1suíte,2banheiros,4vagas,"175,65m²"
22,R$ 1.250,R$ 1.377/mês,Barão Geraldo,"Residencial Burato - Barão Geraldo - Campinas SP

Kitnet mobiliada, de 1 cômodo.
Fogão cooktop, geladeira, guarda roupas, mesa de estudo com cadeira, cama de casal e báu.
Energia e água são despesas individuais.
Iptu valor por mês",Casa em Campinas,1quarto,1suíte,1banheiro ,2vagas,40m²
