,preco_1,preco_2,endereco_1,endereco_2,descricao,attr1,attr2,attr3,attr4,attr5
102,R$ 1.150,R$ 1.405/mês,Cidade Universitária,"Kitnet mobiliada entre a Unicamp e o Centro de Barão Geraldo.

Mobiliada com geladeira, fogão, bancada de refeição, bancada de estudos, guarda-roupas.
Prédio com lavanderia de uso coletivo com máquina;
Rateio (condomínio): valor fixo, por mês, inclui: água, energia elétrica, IPTU, internet, gás, lavanderia de uso coletivo com máquina, por pessoa;",Kitnet em Campinas,1quarto,1banheiro ,19m²,not found,not found
103,R$ 1.200,R$ 1.455/mês,Cidade Universitária,"Kitnet mobiliada entre a Unicamp e o Centro de Barão Geraldo.

Mobiliada com geladeira, fogão, bancada de refeição, bancada de estudos, guarda-roupas.
Prédio com lavanderia de uso coletivo com máquina;

Rateio: valor fixo por mês. por morador, e inclui: água, energia elétrica, IPTU, internet, gás, lavanderia de uso coletivo com máquina.
Vaga de garagem: locada a parte, conforme disponibilidade.",Kitnet em Campinas,1quarto,1banheiro ,"20,80m²",not found,not found
104,R$ 1.950,R$ 2.040/mês,Cidade Universitária,"Cidade Universitária 100 metros Unicamp

Kitnet próximo Unicamp com 1 dormitório separado da cozinha;
Banheiro (espelho, box vidro); 
Com pequeno escritório com bancada;
Mobiliado (geladeira, fogão, bancada estudos e refeição,
armários, exaustor, ar-condicionado, guarda-roupas).
Inclui: internet, gás, água, ronda patrimonial, jardim,
faxina, lavanderia com máquina de lavar roupas.
Garagem: conforme disponibilidade (cobrado a parte)
Energia elétrica: individual.
Acomoda até 2 pessoas",Kitnet em Campinas,1quarto,1banheiro ,30m²,not found,not found
105,R$ 1.800,R$ 1.890/mês,Cidade Universitária,"Cidade Universitária 100 metros Unicamp

Kitnet próximo Unicamp com 1 dormitório separado da cozinha;
Banheiro (espelho, box vidro); 
Mobiliado (geladeira, fogão, bancada estudos e refeição,
armários, exaustor, ar-condicionado, guarda-roupas).
Inclui: internet, gás, água, ronda patrimonial, jardim,
faxina, lavanderia com máquina de lavar roupas.
Garagem: R$ 160,0/mês conforme disponibilidade (cobrado a parte)
Energia elétrica: individual.
Acomoda até 2 pessoas",Kitnet em Campinas,1quarto,1banheiro ,21m²,not found,not found
106,R$ 1.800,R$ 1.890/mês,Cidade Universitária,"Cidade Universitária 100 metros Unicamp

Kitnet próximo Unicamp com 1 dormitório separado da cozinha;
Banheiro (espelho, box vidro); 
Mobiliado (geladeira, fogão, bancada estudos e refeição,
armários, exaustor, ar-condicionado, guarda-roupas).
Inclui: internet, gás, água, ronda patrimonial, jardim,
faxina, lavanderia com máquina de lavar roupas.
Energia elétrica: individual.
Acomoda até 2 pessoas",Kitnet em Campinas,1quarto,1banheiro ,24m²,not found,not found
107,R$ 1.700,R$ 1.790/mês,Cidade Universitária,"Cidade Universitária 100 metros Unicamp

Kitnet próximo Unicamp com 1 dormitório separado da cozinha;
Banheiro (espelho, box vidro); 
Mobiliado (geladeira, fogão, bancada estudos e refeição,
armários, exaustor, ar-condicionado, guarda-roupas).
Inclui: internet, gás, água, ronda patrimonial, jardim,
faxina, lavanderia com máquina de lavar roupas.
Garagem: locados conforme disponibilidade (cobrado a parte)
Energia elétrica: individual.",Kitnet em Campinas,1quarto,1banheiro ,30m²,not found,not found
108,R$ 1.785,R$ 1.875/mês,Cidade Universitária,"Cidade Universitária 100 metros Unicamp

Kitnet próximo Unicamp com 1 cozinha separada do dormitório, e dormitório com divisória deixando-o com 2 ambientes. 
Banheiro (espelho, box vidro); 
Mobiliado (geladeira, fogão, bancada estudos e refeição,
armários, exaustor, ar-condicionado, guarda-roupas).
Inclui: internet, gás, água, ronda patrimonial, jardim,
faxina, lavanderia com máquina de lavar roupas.

Garagem: conforme disponibilidade (cobrado a parte)
Energia elétrica: individual.",Kitnet em Campinas,1quarto,1banheiro ,"22,50m²",not found,not found
109,R$ 2.000,R$ 2.090/mês,Cidade Universitária,"Cidade Universitária 100 metros Unicamp

Kitnet próximo Unicamp com 1 dormitório separado da cozinha;
Banheiro (espelho, box vidro); 
Mobiliado (geladeira, fogão, bancada estudos e refeição,
armários, exaustor, ar-condicionado, guarda-roupas).
Inclui: internet, gás, água, ronda patrimonial, jardim,
faxina, lavanderia com máquina de lavar roupas.
Garagem: locado a parte conforme disponibilidade 
Energia elétrica: individual.",Kitnet em Campinas,1quarto,1banheiro ,30m²,not found,not found
110,R$ 2.100,R$ 2.235/mês,Cidade Universitária,"Cidade Universitária 100 metros Unicamp

Kitnet próximo Unicamp com 1 dormitório separado da cozinha;
Banheiro (espelho, box vidro); 
Mobiliado (geladeira, fogão, bancada estudos e refeição,
armários, exaustor, ar-condicionado, guarda-roupas).
Inclui: internet, gás, água, ronda patrimonial, jardim,
faxina, lavanderia com máquina de lavar roupas.
Garagem: locada a parte, conforme disponibilidade (cobrado a parte)
Energia elétrica: individual.
Acomoda até 2 pessoas",Kitnet em Campinas,1quarto,1banheiro ,30m²,not found,not found
111,R$ 2.300,R$ 2.435/mês,Cidade Universitária,"Cidade Universitária 100 metros Unicamp

Kitnet próximo Unicamp com 2 dormitórios separado da cozinha;
Banheiro (espelho, box vidro); 
Mobiliado (geladeira, fogão, bancada estudos e refeição,
armários, exaustor, ar-condicionado, guarda-roupas).
Inclui: internet, gás, água, ronda patrimonial, jardim,
faxina, lavanderia com máquina de lavar roupas.
Garagem: conforme disponibilidade (cobrado a parte)
Energia elétrica: individual.",Kitnet em Campinas,2quartos,1banheiro ,30m²,not found,not found
112,R$ 1.600,R$ 1.690/mês,Cidade Universitária,"Cidade Universitária 100 metros Unicamp

Kitnet próximo Unicamp com 2 dormitórios separado da cozinha;
Banheiro (espelho, box vidro); 
Mobiliado (geladeira, fogão, bancada estudos e refeição,
armários, exaustor, ar-condicionado, guarda-roupas).
Inclui: internet, gás, água, ronda patrimonial, jardim,
faxina, lavanderia com máquina de lavar roupas.
Garagem: conforme disponibilidade, cobrado a parte
Energia elétrica: individual.
Acomoda até 2 pessoas",Kitnet em Campinas,2quartos,1banheiro ,22m²,not found,not found
113,R$ 1.950,R$ 2.040/mês,Cidade Universitária,"Cidade Universitária  100 metros Unicamp

Kitnet próximo Unicamp com 1 dormitório separado da cozinha;
Banheiro (espelho, box vidro); 
Mobiliado (geladeira, fogão, bancada estudos e refeição,
armários, exaustor, ar-condicionado, guarda-roupas).
Inclui: internet, gás, água, ronda patrimonial, jardim,
faxina, lavanderia com máquina de lavar roupas.
Garagem: R$ 160,00/mês conforme disponibilidade (cobrado a parte)
Energia elétrica: individual.
Acomoda até 2 pessoas",Kitnet em Campinas,1quarto,1banheiro ,30m²,not found,not found
114,R$ 1.900,R$ 1.990/mês,Cidade Universitária,"Kitnet com 1 dormitório para alugar, 30 m² - Próximo ao Aulus e entrada Unicamp na Av. 2. 

Kitnet próximo Unicamp com 1 dormitório separado da cozinha;
Banheiro (espelho, box vidro); 
Mobiliado (geladeira, fogão, bancada estudos e refeição,
armários, exaustor, ar-condicionado, guarda-roupas).
Inclui: internet, gás, água, ronda patrimonial, jardim,
faxina, lavanderia com máquina de lavar roupas.
Garagem: locado a parte, conforme disponibilidade (consultar disponibilidade)
Energia elétrica: individual.",Kitnet em Campinas,1quarto,1banheiro ,30m²,not found,not found
115,R$ 2.000,R$ 2.090/mês,Cidade Universitária,"Cidade Universitária 100 metros Unicamp

Kitnet próximo Unicamp com 1 dormitório separado da cozinha;
Banheiro (espelho, box vidro); 
Mobiliado (geladeira, fogão, bancada estudos e refeição,
armários, exaustor, ar-condicionado, guarda-roupas).
Inclui: internet, gás, água, ronda patrimonial, jardim,
faxina, lavanderia com máquina de lavar roupas.

Garagem: conforme disponibilidade (cobrado a parte)
Energia elétrica: individual.",Kitnet em Campinas,1quarto,1banheiro ,30m²,not found,not found
116,R$ 1.400,R$ 1.655/mês,Cidade Universitária,"Cidade Universitária 01 - 700 metros Unicamp;

Kitnet térrea, mobiliada, com divisória da cozinha para dormitório. o dormitório é amplo suficiente para 2 camas

Dormitório com bancada estudos, armário guarda roupas, cama solteiro;
Cozinha com geladeira, fogão, exaustor, bancada de refeições e armários.
Banheiros com box de vidro e espelho com armário;

Rateio: valor por mes, por morador; Inclui no rateio: energia elétrica, internet, gás, IPTU, vigilante patrimonial, água, manutenções de áreas comuns;

Vaga de garagem: cobrado a parte, conforme disponibilidade;",Kitnet em Campinas,1quarto,1banheiro ,24m²,not found,not found
117,R$ 1.200,R$ 1.270/mês,Cidade Universitária,"O valor do aluguel anunciado é o valor da promoção. 
O valor do contrato é de R$ 2.000,00.
O valor do aluguel até janeiro de 2022 será de R$ 1.200,00.

Cidade Universitária 01 - Barão Geraldo

Kitnet duplex (dois andares) com 1 dormitório; mobiliada com:
Dormitório: cama, guarda roupas, bancada de estudos, ar-condicionado;
Cozinha: bancada refeições, geladeira, fogão, exaustor, micro-ondas;
Banheiro com box vidro, espelho;
Inclui no valor: internet, IPTU, gás, água, jardinagem, vigilância patrimonial; 
Energia elétrica: individual;
Vaga de garagem: locado a parte, quando disponível",Kitnet em Campinas,1quarto,1banheiro ,34m²,not found,not found
118,R$ 4.000,"R$ 4.494,36/mês",Cidade Universitária,"Cidade Universitária 01 

Casa térrea com até 05 dormitórios (sendo 3 dormitórios (1 suíte) oficiais + escritório + edicula com banheiro)- ;
Sala de estar ampla;
Sala de Jantar e cozinha com armários:
Despensa:
Lavanderia coberta;
Vaga para 6 autos (2 cobertas);

IPTU: valor por mês, por conta dos locatários;
Energia, água: individuais;",Casa em Campinas,5quartos,2suítes,3banheiros,8vagas,193m²
119,R$ 2.200,R$ 2.335/mês,Jardim Santa Genebra II (Barão Geraldo),"Centro de Barão Gerado
Apartamento do tipo Mobiliada, DUPLEX com 2 suítes com armários, cama, ar-condicionado, bancada de estudos.
Divisória para a cozinha com armário, geladeira, fogão, exaustor, bancada de refeições.
Vagas de garagem, de acordo com disponibilidade, locadas a parte. 
Inclui: internet (cortesia), água, gás, vigilância patrimonial, faxina e conservação de áreas comuns;",Kitnet em Campinas,2quartos,2suítes,2banheiros,"43,50m²",not found
120,R$ 850,R$ 1.075/mês,Cidade Universitária,"Cidade Universitária 01 - Av. Dr. Oscar Pedroso Horta, 82

Kitnet 1º andar - mobiliada com geladeira, fogão de indução 1 boca, pia com gabinete, guarda roupas. 
Banheiro;
Ampla sacada;
Unidade muito bem ventilada, bem clara, sem janelas de outros imóveis.
Rateio: valor por mês, e inclui despesas como: jardinagem do prédio, água e esgoto, energia elétrica, Internet, IPTU.
Vaga de garagem: locado a parte, conforme disponibilidade.",Kitnet em Campinas,1quarto,1banheiro ,25m²,not found,not found
121,R$ 1.300,R$ 1.550/mês,Barão Geraldo,"CIdade Universitária 01 - Av. Prof. Atílio Martini - próximo Supermercado dia
Opção de kitnet no 1º andar, mobiliada, 22m², com divisória da cozinha para dormitório; lavanderia (tanque cerâmico) individual (há máquina de uso coletivo no prédio). 
Geladeira, fogão 4 bocas com forno, mesas com cadeiras, guarda roupas, ar condicionado, ventilador de teto; 
Banheiro com box de vidro, espelho e gabinete pia. 
Rateio: valor por mês inclui: gás, internet, IPTU, manutenções de áreas comuns, Com vaga de garagem . 
Energia elétrica individual, por conta locatário
Prêmio Seguro (danos elétricos, raio, vendaval, explosão): a calcular, individual, por conta locatário.",Kitnet em Campinas,1quarto,1suíte,1banheiro ,1vaga,"22,78m²"
122,R$ 1.000,R$ 1.225/mês,Jardim Santa Genebra II (Barão Geraldo),"Suíte para Locação  - Próximo Padaria Alemã

Casa com 12 dormitórios (todos suítes) para locações individuais;
Imóvel completamente mobiliado com sala de jantar, sala de estudos, cozinha mobiliada, lavanderia com maquina de uso comunitário e vagas de garagem

Dormitório mobiliado com: Guarda Roupas, Cama sem colchão, Mesa de estudos e Frigobar e banheiro com Box de Vidro


Rateio fixo, por pessoa por mês (inclui: IPTU, água, vigilância patrimonial, vaga de garagem, internet, energia elétrica, lavandeira de uso comunitário com máquina);",Kitnet em Campinas,1quarto,1suíte,1banheiro ,1vaga,18m²
123,R$ 750.000,"R$ 4.995,74/mês",Cidade Universitária,"Cidade Universitária 01 - Casa perto da Unicamp

Casa térrea com 231 m² de área construída, em terreno com 450 m². 
Composta por 3 dormitórios amplos com armários e ventiladores de teto (1 suíte). Banheiro social com box e armário. Escritório (pode ser reversível em dormitório), Sala bem ampla (para 2 ambientes), sala de televisão com armários.
Acesso para quintal com paisagismo, varanda de churrasqueira. 
Cozinha com copa repleta de armários, lavanderia interna e coberta. 
Dependência de empregada com banheiro e armário. 
2 vagas de garagem cobertas, sendo 4 no total, com portão eletrônico. 
Energia elétrica, IPTU e água: despesas individuais, por conta locatários.",Casa em Campinas,5quartos,2suítes,3banheiros,4vagas,231m²
124,R$ 1.600,R$ 1.890/mês,Cidade Universitária,"Kitnet mobiliada de alto padrão,

Cozinha mobiliada com espaço para pequeno sofá;
Condomínio: R$ 200 reais para o primeiro morador. Demais moradores: R$ 130 reais/cada
Inclui: Água, Gás, IPTU, Limpeza área externa, Iluminação área externa, Segurança Barão, Internet cortesia                        
Garagem: R$ 100 reais - de acordo com disponibilidade",Kitnet em Campinas,1quarto,1banheiro ,"25,92m²",not found,not found
125,R$ 1.200.000,"R$ 5.268,66/mês",Cidade Universitária II,"Cidade Universitária 02
Excelente sobrado localizado próximo ao Centro Médico - Facil acesso ao CNPEM / CPQD / Sirius e UNICAMP.
Contendo 5 dormitórios sendo 2 suítes (1 no pavimento térreo), banheiros, sala 2 ambientes, uma sala de TV, lavado, cozinha com despensa, área de serviço externa, coberta, espaço gourmet avarandado, bem amplo, com vestiário. Quintal gramado com piscina. Muro altos. 
Energia elétrica, água, IPTU e gás (botijão): por conta locatários.",Casa em Campinas,5quartos,2suítes,4banheiros,6vagas,"572,40m²"
126,R$ 1.150,R$ 1.430/mês,Barão Geraldo,"Barão Geraldo (Santa Genebra 02) - Perto do Terminal Barão Geraldo
Kitnet mobiliada, no Centro de Barão Geraldo, 1º andar. Semi-divisória da cozinha para o dormitório, com geladeira, fogão, armário, bancada de estudos, bancada de refeições. Banheiro com box de vidro e gabinete. 
Rateio variável inclui: água, IPTU, internet, vigilância, manutenções de áreas comuns; por apartamento.
Energia elétrica: individual;
Lavanderia de uso coletivo com máquina). 
Vaga de garagem locado a parte, de acordo com disponibilidade;",Kitnet em Campinas,1quarto,1banheiro ,24m²,not found,not found
127,R$ 1.150,"R$ 1.309,36/mês",Residencial Terra Nova,"Jardim São Gonçalo - Barão Geraldo
Parte de cima de um sobrado com outras 2 casas no terreno. As vagas de garagem são frontais, utilizam-se do mesmo portao de entrada. 
Com 2 dormitórios, sala, cozinha e banheiro, com padrão de construção recente.
1 vaga de garagem.
IPTU: 33,33% do total; valor por mes. 
Energia elétrica: individual;
água: 50% do total",Casa em Campinas,2quartos,1banheiro ,1vaga,50m²,not found
128,R$ 5.000,"R$ 5.366,88/mês",Cidade Universitária,"Cidade Universitária 2 - Barão Geraldo - Campinas SP

Imóvel com excelente localização, próximo a Unicamp, Centro Médico, ao Parque Ecológico.
Excelente casa térrea, com 3 dormitórios com armários, suíte com closet e ar condicionado; banheiro social.
Sala social ampla com 3 ambientes, lavabo, escritório;
Cozinha com gabinete e despensa; Lavanderia coberta, quarto de serviço com banheiro.
Quintal com área de churrasqueira coberta; gramado; Edícula com 2 cômodos e banheiro.",Casa em Campinas,4quartos,2suítes,4banheiros,4vagas,"291,48m²"
129,R$ 800.000,"R$ 4.666,29/mês",Bosque das Palmeiras,not found,Barracão em Campinas,2banheiros,"236,80m²",not found,not found,not found
130,R$ 37.000.000,R$ 150.000/mês,Parque Real,"Área Industrial 32 x 80 m2                                 2.560,00 m2
	Área Industrial / Mezanino 12 x 80 m2                 960,00 m2
	Área Industrial / Mezanino  8 x 20 m2                  160,00 m2
	Sub Solo 32 x 48 m2                                          1.536,00 m2
	Escritório térreo 24 x 28 m2                                672,00 m2
	Escritório 1º andar 24 x 28 m2                            672,00 m2
	Escritório 2º andar 24 x 28 m2                            672,00 m2
	Portaria 7 x 7 m2                                               49,00 m2
	Prédio de apoio 6 x 15 m2                                  90,00 m2
	Sótão 28 x 8 m2                                                224,00 m2
	Cobertura Área Industrial 8 x 20 m2                    160,00 m2
        
 Quatro elevadores/ Ar condicionado/ Cabine de força 225 KVA / Piso para 6 toneladas.
* Falta construir a guarita *",Prédio em Campinas,7.755m²,not found,not found,not found,not found
131,R$ 28.000.000,R$ 107.500/mês,Real Parque,"Prédio Comercial/Industrial com infraestrutura completa!
-Pré-moldado e com telha altoportante;
-Piso industrial de 6 toneladas/m²;
-Poço Artesiano;
- 2 Guaritas blindadas;
-Sala dentro do depósito em divisória naval;
-Portões automatizados, inclusive os da entrada;
-Documentação Regularizada para todos os licenciamentos que se fizerem necessários;
-Sistema AVCB (Bombeiros) vigente.",Prédio em Campinas,2banheiros,140vagas,"4.771,88m²",not found,not found
132,R$ 750.000,"R$ 3.274,17/mês",Cidade Universitária II,"Cidade Universitária 2 - Barão Geraldo - Campinas SP

Casa térrea de 3 dormitórios, 1 com armário embutido. 1 suíte.
Sala de estar; lavabo; escritório;
Cozinha com gabinete e despensa;
Cômodo externo com banheiro; 
Quintal com forno a lenha e canil.",Casa em Campinas,3quartos,1suíte,3banheiros,4vagas,"196,50m²"
133,R$ 7.000,R$ 9.485/mês,Residencial Parque Rio das Pedras,"Sobrado em condomínio de alto padrão 4  dormitórios com armários embutidos (3 suítes) sala de  estar, sala  de jantar,  2 salas  de  TV,  cozinha planejada,    despensa,  lavabo.    Lazer   com   piscina, churrasqueira, sauna e campo de futebol. Dependência   de   empregada  com  wc,
lavanderia  coberta, varandas, paisagismo, vaga para 3 autos.",Casa em Campinas,4quartos,2suítes,3banheiros,4vagas,500m²
134,R$ 4.500,"R$ 4.992,75/mês",Cidade Universitária,"Cidade Universitária 01 - perto da Unicamp

Sobrado com 3 suites com armários embutidos em carpete de nylon, sala para 2 ambientes, escritório, lavabo, cozinha com armários, dependencia de serviço com banheiro, lavanderia coberta. 
Área de churrasqueira, piscina, paisagismo. 
Vaga para até 4 autos.",Casa em Campinas,3quartos,3suítes,4banheiros,4vagas,"292,75m²"
135,R$ 6.500,R$ 7.395/mês,Cidade Universitária,"Cidade Universitária 01 - 100 metros da Unicamp

Sobrado com 4 dormitórios (sendo 2 suítes) com armários embutidos;
Banheiro social
Sala de estar, sala de jantar, sala de TV;
Escritório
Dependência de empregada com banheiro
Cozinha com armários
Lavanderia externa e coberta
Varanda com churrasqueira, quintal, piscina;
Vaga para 3 autos cobertas e 2 descobertas. 
Muros altos, portao eletrônico.
IPTU: parcelas mensais.
Energia eletrica e água: individuais.",Casa em Campinas,4quartos,2suítes,1banheiro ,5vagas,350m²
136,R$ 1.450,R$ 1.550/mês,Cidade Universitária,"Cidade Universitária 01 - Rua Dr. Roxo Moreira, 1150
Kitnet térrea com divisória da cozinha para o dormitório, e sala, em frente Unicamp.
Cozinha com gabinete, geladeira, fogão 4 bocas com forno, microondas, gabinete cozinha. Banheiro com box de vidro, gabinete. 
Dormitório com cama solteiro (sem colchão), armário (móvel), ar condicionado e televisão (canais abertos). 

Rateio/Condomínio: valor por mês, por pessoa - inclui: gás; IPTU; vigilância patrimonial; água; faxina, jardinagem e manutenções de áreas externas.
Energia elétrica: medidor individual.
Vagas de garagem locado a parte, conforme disponibilidade. Possibilidade de Vaga Coberta no prédio. Consulte opções e valores.",Kitnet em Campinas,1quarto,1banheiro ,"26,80m²",not found,not found
137,R$ 1.300,R$ 1.620/mês,Barão Geraldo,"Cidade Universitária 01 - 
Prédio localizado na Av. Professor Atilio Martini (popular avenida 02) bem em frente ao supermercado Dia - fácil acesso a Unicamp e ao Centro de Barão Geraldo utilizando ciclo faixa. 

Opção de kitnet com divisória da cozinha para dormitório, no pavimento térreo, mobiliada com geladeira, fogão 4 bocas com forno, gabinete (armário) de cozinha, mesa com tampo de pedra com cadeiras, guarda roupas. Ar-condicionado e ventilador de teto. Banheiro com box de vidro.
Energia elétrica: individual, por conta locatário;
Rateio: valor por mes, por pessoa, e inclui: IPTU, internet, gás, água, manutenção de áreas externas. 
Vaga de garagem: locadas a parte, conforme disponibilidade.",Kitnet em Campinas,1quarto,1banheiro ,30m²,not found,not found
138,R$ 1.300,R$ 1.620/mês,Cidade Universitária,"Kitnet mobiliada com divisória entre cozinha e dormitório, na avenida de acesso, a 600 metros da Unicamp!

Mobiliada com geladeira, fogão, mesa de refeição e cadeiras, armários de cozinha, microondas, guarda roupas, opção de cama de solteiro sem colchão. 

No condomínio valor por mês e por pessoa, inclui: água, IPTU, internet, gás, lavanderia de uso coletivo com máquina. 
Energia elétrica: individual
Vaga de garagem locada a parte, conforme disponibilidade.",Kitnet em Campinas,1quarto,1banheiro ,"23,96m²",not found,not found
139,R$ 1.300,R$ 1.550/mês,Barão Geraldo,"Cidade Universitária 01 - Av. Prof. Atilio Martini

Kitnet mobiliada com divisória da cozinha para dormitório.
Equipada com geladeira, fogão, gabinetes de cozinha, guarda roupas, cama solteiro sem colchão.
Rateio: por mês, e inclui: água, IPTU, gás, manutenção de áreas comuns, internet, lavanderia de uso comunitário com maquina.
Energia elétrica: individual.",Kitnet em Campinas,1quarto,1banheiro ,1vaga,"23,11m²",not found
140,R$ 1.300,R$ 1.570/mês,Barão Geraldo,"Cidade Universitária 01 - Av. Prof. Atílio Martini - em frente Supermercado Dia 

Opção de kitnet mobiliada com 25 m², com divisória da cozinha para dormitório.
Mobília: geladeira, fogão 4 bocas com forno, micro-ondas, mesa com cadeiras, guarda roupas, ventilador, ar condicionado.
Dormitório amplo, com sacada.
Banheiro com box de vidro e gabinete.
Vaga de garagem locada a parte, conforme disponibilidade
Condominio / Rateio: valor por mês inclui: água, Internet, IPTU, gás, manutenção de áreas comuns.
Energia elétrica individual",Kitnet em Campinas,1quarto,1banheiro ,"22,83m²",not found,not found
141,R$ 1.300,R$ 1.620/mês,Cidade Universitária,"Cidade Universitária 01 - Av. Dr. Romeu Tórtima (popular av. 01). 
Ponto de Referência: Colégio Rio Branco;

Opção de kitnet térrea, mobiliada, com divisória da cozinha para dormitório. 
Com geladeira, fogão 4 bocas com forno, gabinete cozinha, mesa com 2 cadeiras. Lavanderia (tanque cerâmico) individual para cada unidade no prédio junto a cozinha e local com máquina de uso comunitário no prédio). 
Dormitório com guarda roupas, ar condicionado. 
Banheiro com box de vidro e espelho. 
Rateio fixo por mês: inclui água, IPTU, gás, manutenção de áreas externas, Internet. 
Energia elétrica da Unidade é individual.",Kitnet em Campinas,1quarto,1banheiro ,27m²,not found,not found
142,R$ 1.300,R$ 1.620/mês,Cidade Universitária,"Cidade Universitária 01

OPção de kitnet mobiliada de 25m², com divisória da cozinha para dormitório. 
Contém geldadeira, fogão 4 bocas com forno, gabinete de cozinha, mesa com 4 cadeiras para refeições, gabinete de banheiro, cama solteiro sem colchão, guarda roupas. 
Energia eletrica: despesa individual;
Rateio: valor por mes, e inclui: agua, IPTU, gás, manutenções de áreas comuns, lavanderia de uso coletivo com máquina. 
Vagas de garagem locadas a parte conforme disponibilidade.",Kitnet em Campinas,1quarto,1banheiro ,25m²,not found,not found
143,R$ 1.300,R$ 1.620/mês,Cidade Universitária,"Kitnet mobiliada com divisória entre cozinha e dormitório, na avenida de acesso, a 600 metros da Unicamp!

Mobiliada com geladeira, fogão, mesa de refeição e cadeiras, armários de cozinha, microondas, guarda roupas, opção de cama de solteiro sem colchão. 

No condomínio valor por mês e por pessoa, inclui: água, IPTU, internet, gás, lavanderia de uso coletivo com máquina. 
Energia elétrica: individual
Vaga de garagem locada a parte, conforme disponibilidade.",Kitnet em Campinas,1quarto,1suíte,1banheiro ,25m²,not found
144,R$ 1.200,"R$ 1.687,06/mês",Barão Geraldo,"Avenida Santa Izabel - Centro Barão Geraldo
Galeria Pattaro - Ótima Oportunidade
Sala comercial com 54,06² - com mezanino e ar condicionado.
Condomínio R$ 363,00
Energia elétrica individual.",Sala em Campinas,1banheiro ,"54,06m²",not found,not found,not found
145,R$ 1.200,"R$ 1.707,94/mês",Barão Geraldo,"Avenida Santa Izabel - Centro Barão Geraldo
Galeria Pattaro - Ótima Oportunidade
Sala comercial com 62,94² - com mezanino.
Energia elétrica individual.",Sala em Campinas,1banheiro ,"62,94m²",not found,not found,not found
146,R$ 1.300,R$ 1.620/mês,Cidade Universitária,"Kitnet mobiliada com divisória entre cozinha e dormitório, na avenida de acesso, a 600 metros da Unicamp!

Mobiliada com geladeira, fogão, mesa de refeição e cadeiras, armários de cozinha, microondas, guarda roupas, opção de cama de solteiro sem colchão. 

No condomínio valor por mês e por pessoa, inclui: água, IPTU, internet, gás, lavanderia de uso coletivo com máquina. 
Energia elétrica: individual
Vaga de garagem locada a parte, conforme disponibilidade.
Marcadores:",Kitnet em Campinas,1quarto,1banheiro ,"30,77m²",not found,not found
147,R$ 1.000,R$ 1.195/mês,Vila Santa Isabel,"Vila Santa Isabel - Barão Geraldo - Campinas SP

Kitnet mobiliada com divisória entre cozinha e dormitório 
Cozinha com Geladeira, fogão, gabinete 
Dormitório com Cama (sem colchão), Guarda Roupas
Banheiro com Box e espelho 
01 vaga de garagem disponível 
Lavandeira Coletiva com Maquina

Condomínio mensal por pessoa inclui: água, energia elétrica e Iptu
Gás: Botijão Individual",Kitnet em Campinas,1quarto,1suíte,1banheiro ,1vaga,27m²
148,R$ 650,R$ 885/mês,Jardim Santa Genebra II (Barão Geraldo),"PENSIONATO FEMININO.
SUÍTES INDIVIDUAIS, MOBILIADAS, NA ENTRADA DE BARÃO GERALDO.
SALA DE ESTAR E COZINHA DE USO COMUM, TOTALMENTE MOBILIADAS.
LAVANDERIA  COM  MÁQUINA, VARANDA E TERRAÇO. VAGA DE GARAGEM À CONFIRMAR.
SOMENTE PARA MULHERES.",Kitnet em Campinas,1quarto,1suíte,1banheiro ,15m²,not found
149,R$ 650,R$ 885/mês,Jardim Santa Genebra II (Barão Geraldo),"Santa Genebra 02 - Entrada de Barão Geraldo;
PENSIONATO FEMININO.
Suítes individuais (10 no geral) , mobiliadas, na entrada de Barão Geraldo.
Sala de estar e cozinha de uso comum, totalmente mobiliadas. lavanderia  com  máquina, varanda e terraço. vaga de garagem à confirmar.
Rateio / condomínio: variável por mês, inclui água, energia, internet, gás, produtos de uso comum; 
Somente para mulheres.",Kitnet em Campinas,1quarto,1suíte,1banheiro ,15m²,not found
150,R$ 650,R$ 885/mês,Jardim Santa Genebra II (Barão Geraldo),"Centro de Barão Geraldo - próximo ao terminal de ônibus, Supermercados Dalben. 

Pensionato feminino - suites mobiliada com cama, armário, prateleiras, mesa e cadeira. Banheiro individual com box de acrílico. 
A casa conta com cozinha equipada com todos utensílios, de uso comum entre as Moradoras. 
Rateio das despesas mensais como agua, energia, internet, gás, produtos de uso comum em torno cobrado por mes, valor adicional ao aluguel.  
Ambiente extremamente seguro e familiar.",Kitnet em Campinas,1quarto,1suíte,1banheiro ,15m²,not found
151,R$ 3.000,"R$ 3.352,09/mês",Barão Geraldo,"Barão Geraldo - Campinas SP

Casa Comercial para locação, recém reformada com 3 salas, sendo 2 com armários.
Fiação pronta para ar condicionado.
Banheiro Masculino e Feminino.
Copa e Quintal.",Casa em Campinas,3quartos,2banheiros,204m²,not found,not found
