date,ticker,commodity,open,high,low,close,volume,ret_pct,vol_21d,drawdown,pct_from_high,ma50,ma200,risk_flag
2023-07-19,CT=F,Cotton No.2,84.19999694824219,86.06999969482422,84.19999694824219,85.62000274658203,22,,,0.0,,,,OK
2023-07-20,CT=F,Cotton No.2,86.31999969482422,86.31999969482422,85.93000030517578,85.93000030517578,4,0.3620620750401926,,0.0,,,,OK
2023-07-21,CT=F,Cotton No.2,86.87999725341797,86.9000015258789,84.25,85.08000183105469,48,-0.9891754580500067,,-0.009891754580500067,,,,OK
2023-07-24,CT=F,Cotton No.2,84.76000213623047,85.80000305175781,84.76000213623047,85.58000183105469,68,0.5876821688284073,,-0.004073064970069762,,,,OK
2023-07-25,CT=F,Cotton No.2,86.18000030517578,88.68000030517578,86.05000305175781,88.55000305175781,54,3.47043837013028,,0.0,,,,OK
2023-07-26,CT=F,Cotton No.2,88.23999786376953,90.33000183105469,87.9000015258789,89.9800033569336,25,1.6149071212791855,,0.0,,,,OK
2023-07-27,CT=F,Cotton No.2,89.76000213623047,89.76000213623047,86.2300033569336,86.62000274658203,69,-3.7341636863727157,,-0.03734163686372716,,,,OK
2023-07-28,CT=F,Cotton No.2,87.81999969482422,87.8499984741211,85.0199966430664,85.05999755859375,65,-1.8009756852031988,,-0.05467887991538645,,,,OK
2023-07-31,CT=F,Cotton No.2,85.04000091552734,87.19999694824219,84.5,85.44000244140625,29,0.44674922844987197,,-0.05045566510503474,,,,OK
2023-08-01,CT=F,Cotton No.2,86.5999984741211,86.68000030517578,85.94999694824219,86.87000274658203,7,1.673689447933313,,-0.03456324176844916,,,,OK
2023-08-02,CT=F,Cotton No.2,85.83000183105469,85.87000274658203,84.80000305175781,85.08000183105469,8,-2.0605512362525724,,-0.05445656082542616,,,,OK
2023-08-03,CT=F,Cotton No.2,84.94000244140625,85.25,83.8499984741211,85.27999877929688,16,0.23506928060406107,,-0.052233878665159605,,,,OK
2023-08-04,CT=F,Cotton No.2,85.0,86.05000305175781,85.0,85.2699966430664,10,-0.011728583927816949,,-0.052345038210139694,,,,OK
2023-08-07,CT=F,Cotton No.2,85.0,86.05000305175781,85.0,86.37999725341797,1,1.3017481576760748,,-0.0400089572039144,,,,OK
2023-08-08,CT=F,Cotton No.2,85.5,86.18000030517578,85.26000213623047,86.19999694824219,13,-0.20838192972812974,,-0.042009405064110106,,,,OK
2023-08-09,CT=F,Cotton No.2,85.43000030517578,85.43000030517578,85.43000030517578,86.11000061035156,1,-0.10440410797770694,,-0.04300958659926324,,,,OK
