ticker,commodity,commodity_pt,unit,exchange,contract_lbs,last_date,last_close,day_change_pct,vol_21d_annual_pct,drawdown_pct,pct_from_high_pct,high_52w,low_52w,risk_flag,contract_notional_usd,corr_coffee_cotton_63d
KC=F,Coffee (Arabica),Coffee,US¢/lb,ICE,37500,2026-09-24,276.6,0.25,31.2,-37.0,-34.6,422.7,244.4,WARN,103725.0,-0.0
CT=F,Cotton No.2,Cotton,US¢/lb,ICE,50000,2026-09-24,83.36,5.64,38.8,-19.1,-9.1,91.7,61.06,WARN,41680.0,-0.0
