date,corr_63d
2023-10-26,0.20236738067522086
2023-10-27,0.1985106610382204
2023-10-30,0.21025543843647448
2023-10-31,0.15717305541899165
2023-11-01,0.20427182454005724
2023-11-02,0.2128170372644046
2023-11-03,0.19754334213432043
2023-11-06,0.17833100306582836
2023-11-07,0.19251530507959672
2023-11-08,0.17675797513233618
2023-11-09,0.22593551801695183
2023-11-10,0.17496028397009
2023-11-13,0.16811087001471972
2023-11-14,0.14972050666958686
2023-11-15,0.13852162931431428
2023-11-16,0.12953603313479733
2023-11-17,0.12093628490343507
2023-11-20,0.10085082635326505
2023-11-21,0.0744866313050146
2023-11-22,0.08578060174475693
2023-11-23,0.09675092946236732
2023-11-24,0.09416632379309456
2023-11-27,0.08992904866271041
2023-11-28,0.08424782045941986
2023-11-29,0.08309716630113789
2023-11-30,0.13056465701926506
2023-12-01,0.1351664413272258
2023-12-04,0.14506982739595398
2023-12-05,0.12185761712067934
2023-12-06,0.12058421917572
2023-12-07,0.0631501264514883
2023-12-08,0.06897195707640393
2023-12-11,0.0818952194947088
2023-12-12,0.08636914490435021
2023-12-13,0.1050575096734878
2023-12-14,0.1001953858788866
2023-12-15,0.0843555051793773
2023-12-18,0.051862794798180484
2023-12-19,0.03502671537180683
2023-12-20,0.02867608670440088
2023-12-21,0.05747441534668998
2023-12-22,0.04470735803117108
2023-12-26,0.04861582220893559
2023-12-27,0.05793986829508709
2023-12-28,0.04582483935202493
2023-12-29,0.034106584871229716
2024-01-02,0.02992820205625137
2024-01-03,0.010389179172246356
2024-01-04,0.011515523736603375
2024-01-05,0.00956339366800615
2024-01-08,0.007222596900337067
2024-01-09,0.013548164667666148
2024-01-10,0.018570748002410806
2024-01-11,0.027469474901582393
2024-01-12,0.005027169072509174
2024-01-16,0.002598771433261586
2024-01-17,0.010973755870715207
2024-01-18,0.009537226825597215
2024-01-19,0.03061085913660482
2024-01-22,0.05372740938858152
2024-01-23,0.053554238587266004
2024-01-24,0.04990490596357262
2024-01-25,0.06621277957251376
2024-01-26,0.04246598185454722
2024-01-29,0.04329057695263103
2024-01-30,0.037568176093664404
2024-01-31,0.08971581618962708
2024-02-01,0.03452721534490574
2024-02-02,0.025263343300249968
2024-02-05,0.03356446162080169
2024-02-06,0.050250833789479976
2024-02-07,0.03419543403308394
2024-02-08,0.05858296290047468
2024-02-09,0.08938823570153964
2024-02-12,0.1052765636247859
2024-02-13,0.09890638146844766
2024-02-14,0.07341513765992058
2024-02-15,0.08745657448149916
2024-02-16,0.08422011041492401
2024-02-20,0.07826067287333198
2024-02-21,0.13177453161287167
2024-02-22,0.10626196046858999
2024-02-23,0.09094628137083154
2024-02-26,0.08507347071091931
2024-02-27,0.11719360352424317
2024-02-28,0.11990201432954581
2024-02-29,0.1118565193329135
2024-03-01,0.12506307817065657
2024-03-04,0.11518667838822248
2024-03-05,0.11551101580545312
2024-03-06,0.09862657225184364
2024-03-07,0.08526273802440032
2024-03-08,0.14961999038404805
2024-03-11,0.15644437811147577
2024-03-12,0.15550463620335025
2024-03-13,0.15549368830922197
2024-03-14,0.14584503999643458
2024-03-15,0.1368038107991636
2024-03-18,0.14877468637982885
2024-03-19,0.14894935682433708
2024-03-20,0.182519025504626
2024-03-21,0.18610368572054184
2024-03-22,0.1814600328138608
2024-03-25,0.1864859549452762
2024-03-26,0.19580127414395812
2024-03-27,0.16365282375552856
2024-03-28,0.15814818434787992
2024-04-01,0.1676462891572273
2024-04-02,0.1255867114449654
2024-04-03,0.0950934586113895
2024-04-04,0.09060917348741382
2024-04-05,0.06985185714859123
2024-04-08,0.06811722880130866
2024-04-09,0.06485388187832856
