ticker,commodity,commodity_pt,unit,exchange,contract_lbs,last_date,last_close,day_change_pct,vol_21d_annual_pct,drawdown_pct,pct_from_high_pct,high_52w,low_52w,risk_flag,contract_notional_usd,corr_coffee_cotton_63d
KC=F,Coffee (Arabica),Coffee,US¢/lb,ICE,37500,2026-07-02,302.35,-6.77,47.1,-31.1,-30.1,432.35,244.4,BREACH,113381.0,-0.05
CT=F,Cotton No.2,Cotton,US¢/lb,ICE,50000,2026-07-02,77.52,5.79,33.5,-24.8,-11.7,87.77,61.06,WARN,38760.0,-0.05
